"PlanetIdentifier","TypeFlag","PlanetaryMassJpt","RadiusJpt","PeriodDays","SemiMajorAxisAU","Eccentricity","PeriastronDeg","LongitudeDeg","AscendingNodeDeg","InclinationDeg","SurfaceTempK","AgeGyr","DiscoveryMethod","DiscoveryYear","LastUpdated","RightAscension","Declination","DistFromSunParsec","HostStarMassSlrMass","HostStarRadiusSlrRad","HostStarMetallicity","HostStarTempK","HostStarAgeGyr","ListsPlanetIsOn","Probability_of_life"
"Kepler-163 c",0,24.4524237981724,0.20595,21.347262,3.48262812530176,0.349869589413715,228.971533053903,244.715599363463,56.2891335995403,59.4818021378332,1219.42067169695,1.03499019320452,"transit",2014,"14/02/26","19 40 00","+46 59 14",788.98,0.96,0.917,-0.322870542384474,5776,8.07120875479563,"Confirmed planets",0
"Kepler-1630 b",0,14.6508567961903,0.195,509.997402,-12.6380371776604,-0.177436661648184,-34.4935756047051,290.280358812894,4.4303824999694,94.9997366608537,1130.28099273087,1.73261253322109,"transit",2016,"16/05/10","19 50 02","+43 42 39",299.411858281594,0.66,0.63,-0.46,4736,8.21662390519933,"Confirmed planets",0
"Kepler-1631 b",0,6.01397529659531,0.12,4.09513932,13.5996160758136,0.0877109612627213,136.141068072528,264.890002648074,78.4853185786444,122.043200276917,917.052952191605,0.76571684646325,"transit",2016,"16/05/10","19 38 32","+43 48 28",1608.08982810024,0.97,0.95,0.04,5679,7.53716348120113,"Confirmed planets",0
"Kepler-1632 b",0,20.2162196456666,0.22,448.303558,-19.2799423168139,-0.145870383497542,211.244899105186,168.069145158997,67.8369564336676,43.9623933674735,1175.82512474311,1.519303051721,"transit",2016,"16/05/10","19 37 59","+43 54 49",1089.2221016259,1.12,1.19,0,6137,7.20684272550549,"Confirmed planets",1
"Kepler-1633 b",0,6.00161181891393,0.141,186.404271,6.77701530916337,0.249881260604567,29.5651647586309,239.669004510272,-10.4598881291596,82.0409161374969,901.92037218193,1.54608794655981,"transit",2016,"16/05/10","19 14 04","+44 55 24",1188.66904489814,1.2,1.32,0.02,6256,11.0635327772391,"Confirmed planets",0
"Kepler-1634 b",0,9.28484661070325,0.285,374.876239,7.48958284803436,0.347955578640897,221.932864233682,-42.9821422086508,166.824322238517,55.9841459094237,411.088248225234,1.050512013566,"transit",2016,"16/05/10","19 36 10","+45 08 23",414.630798664537,0.92,0.89,0.02,5474,2.83102819166016,"Confirmed planets",1
"Kepler-1635 b",0,8.90110567528529,0.325,469.63111,-28.4725001092051,0.106246959566523,73.5270704436763,308.185062571388,-59.3073151646318,43.5973642474515,845.740337645808,0.94801292505005,"transit",2016,"16/05/10","19 01 24","+45 33 22",256.971091485803,0.89,0.85,0.06,5347,12.4406300819062,"Confirmed planets",1
"Kepler-1636 b",0,-0.164497823049989,0.288,425.47785,-5.05383333008289,0.0512524068039566,224.404862220149,92.8002535831143,69.6137403546161,97.4842035593695,142.813404415069,0.599310182835153,"transit",2016,"16/05/10","19 36 14","+46 26 28",580.799347442168,1.01,1.02,0.03,5797,9.71971756895335,"Confirmed planets",1
"Kepler-1637 b",0,20.425139003208,0.079,6.10960324,16.5800658619611,0.538392550919372,122.21962883207,316.9498328393,152.338055674019,75.8692113985473,1093.10341672878,0.34002059559926,"transit",2016,"16/05/10","18 48 57","+48 09 15",607.643928109906,1.02,1.02,0.07,5789,3.13688979268797,"Confirmed planets",0
"Kepler-1638 b",0,-13.8120660004227,0.167,259.33683,-24.1801502924542,-0.0264216396106959,104.918202461362,127.443247497373,-9.48711992214803,92.2217684966781,-234.818316123749,1.78104086164508,"transit",2016,"16/05/10","19 41 56","+48 31 28",1281.53926390566,0.97,0.95,-0.01,5710,1.9106746118,"Confirmed planets",1
"Kepler-1639 b",0,-8.87838213235525,0.23,9.878482,10.9656825155877,0.26375583524265,77.8515491999591,330.943699840074,-48.5138929276067,91.6331806109076,1181.91419297697,1.26729644156247,"transit",2016,"16/05/10","18 52 16","+48 48 08",1505.87903806901,1.12,1.18,-0.03,6150,6.45793359046728,"Confirmed planets",0
"Kepler-164 b",0,-10.2820912964102,0.12849,5.03503,13.773584413847,0.212715757088733,167.311534440262,229.95003688846,210.274270266872,60.7536305804149,683.221495882342,2.80699529742596,"transit",2014,"14/02/26","19 11 07","+47 37 47",965.43,1.15,1.148,0.180619640269228,5888,-7.56712587347706,"Confirmed planets",0
"Kepler-164 c",0,-3.31953029941866,0.24879,10.945723,-25.9283619365743,-0.00852355751671902,63.456104331244,359.424411665873,-42.9177217843623,53.2092984367314,710.467377419724,1.48966186325135,"transit",2014,"14/02/26","19 11 07","+47 37 47",965.43,1.15,1.148,-0.144558872648398,5888,2.70555277170408,"Confirmed planets",0
"Kepler-164 d",0,26.1687422741671,0.22327,28.986769,8.48551377294285,0.272041715383518,161.428716400097,207.259490211136,161.33120949247,46.436292920248,1512.51627740703,0.667830774169862,"transit",2014,"14/02/26","19 11 07","+47 37 47",965.43,1.15,1.148,0.0641708088876962,5888,7.24716628541839,"Confirmed planets",0
"Kepler-1640 b",0,2.84377551245563,0.43,7.5844126,6.51790741771616,0.0742309510437557,248.027101624949,188.82620413091,108.113115536435,80.9980450192357,1523.90325260547,1.04552967467737,"transit",2016,"16/05/10","19 38 14","+40 51 02",1017.56158355322,1.27,1.43,0.1,6324,5.11331695304102,"Confirmed planets",0
"Kepler-1641 b",0,18.8315672828175,0.277,19.672266,10.2712127093549,0.412921823453475,81.344558283999,-29.9695392292855,146.771400729032,68.4108205055239,225.635965283526,1.73655198869346,"transit",2016,"16/05/10","19 45 26","+41 34 28",-278.233850500681,1.12,1.19,-0.02,6152,12.3581106036923,"Confirmed planets",0
